,1,LI,LI,1,2.151,1.683,1.442,-0.3922,0.3921,-0.6998
,2,LI,LI,2,3.087,3.003,1.284,0.5783,-1.1713,0.5595
,3,LI,LI,3,0.272,1.650,0.742,-0.0857,-0.2584,-0.8466
,4,LI,LI,4,0.295,0.340,0.561,-0.5601,1.1315,0.3057
,5,LI,LI,5,0.170,2.534,0.583,1.3681,-0.0128,-1.7527
,6,LI,LI,6,0.684,0.453,1.053,0.2290,0.8410,0.6980
,7,LI,LI,7,2.989,1.691,3.517,0.2152,-0.3000,0.8941
,8,LI,LI,8,1.554,2.008,0.212,0.0218,0.2981,-1.0569
,9,LI,LI,9,3.020,2.897,3.335,0.4758,0.7438,-1.2523
,10,LI,LI,10,2.607,0.863,3.108,-1.0693,-0.2663,0.8958
,11,LI,LI,11,0.989,1.000,3.123,0.4722,0.5202,1.2193
,12,LI,LI,12,0.625,1.259,2.693,1.9577,0.6814,1.1246
,13,LI,LI,13,3.118,2.468,2.004,-0.3998,-0.5349,-0.9275
,14,LI,LI,14,2.127,1.120,3.299,0.8366,1.0533,-0.1615
,15,LI,LI,15,2.871,3.541,2.544,-0.3160,0.7177,0.2718
,16,LI,LI,16,0.526,1.793,1.311,-0.1030,0.3955,1.2357
,17,LI,LI,17,0.634,3.588,2.526,-0.2828,-0.1289,0.1376
,18,LI,LI,18,2.369,2.181,1.765,-0.1245,1.8475,-0.4022
,19,LI,LI,19,0.473,0.075,0.071,-0.0978,0.9537,-1.7538
,20,LI,LI,20,3.037,3.470,2.204,-1.3904,0.7197,0.5049
,21,LI,LI,21,1.194,2.839,2.730,-2.0566,-0.0234,-0.9438
,22,LI,LI,22,1.820,1.663,2.350,-1.2561,-1.8456,-1.9461
,23,LI,LI,23,0.464,0.942,2.674,-0.1983,-0.4544,1.0861
,24,LI,LI,24,3.327,0.637,2.187,0.4640,2.4365,0.5795
,25,LI,LI,25,2.677,0.406,1.160,-0.7359,0.3953,-1.1773
,26,LI,LI,26,1.266,3.235,3.263,-0.5766,-2.9347,-0.0681
,27,LI,LI,27,2.449,0.723,1.293,-0.3360,-1.8591,0.5730
,28,LI,LI,28,3.134,0.445,3.336,0.7972,0.2192,-0.0519
,29,LI,LI,29,1.770,0.145,3.183,-0.2954,-1.0760,-1.1890
,30,LI,LI,30,3.516,0.348,2.952,-1.7033,-0.0064,-0.1871
,31,LI,LI,31,1.669,0.148,0.921,-1.3047,-0.2604,0.5113
,32,LI,LI,32,1.311,1.325,0.366,-0.7040,-1.3842,-0.6387
,33,LI,LI,33,2.366,3.204,1.275,-0.7524,-1.8299,0.6027
,34,LI,LI,34,1.774,1.175,3.213,-0.0640,1.3808,0.9104
,35,LI,LI,35,1.232,1.813,2.655,-0.1715,-0.3330,0.3699
,36,LI,LI,36,0.151,1.132,0.519,-0.9377,1.4605,-0.3109
,37,LI,LI,37,2.747,0.854,1.140,0.2501,-1.6298,-0.7575
,38,LI,LI,38,3.577,2.282,1.339,1.2632,-0.0665,-0.3184
,39,LI,LI,39,1.212,1.101,1.777,0.7589,-2.1390,-1.2090
,40,LI,LI,40,1.562,0.216,3.520,0.4488,-0.1203,0.5357
,41,LI,LI,41,1.539,1.307,2.954,0.4291,1.7517,0.9514
,42,LI,LI,42,0.138,1.997,0.341,-0.9618,-0.4138,-0.2390
,43,LI,LI,43,0.472,0.784,0.163,-0.9949,-0.3282,-0.4891
,44,LI,LI,44,2.305,0.235,2.913,-0.6000,-0.4746,0.7582
,45,LI,LI,45,1.871,0.078,2.395,-1.6857,-2.0918,0.1845
,46,LI,LI,46,3.260,2.839,0.964,1.3283,-1.0118,-0.0746
